"# 文本key","文本value"
"Effect_Desc_42233","Нанесите <dmg>{0}</> раз {1} урона, смешайте движения противника с нашими обычными движениями на поле и распределите их равномерно"
"Effect_Desc_42234","Наносит <dmg>{0}</>x {1} урона. Увеличивает урон от навыков на <dmg>100%</> за каждый ваш обычный ход на поле на <dmg>1</> больше, чем ходов противника "
"Effect_Desc_42240","Примените слой <dmg>{0}</> к самому себе <TipGreenOutLine>[Звезды движутся]</>"
"Effect_Desc_42241","Примените слой <TipGreenOutLine>[Взятка]</> к самому себе"
"Effect_Desc_42242","Наносит <dmg>{0}</> раз {1} раз урона и устраняет <dmg>{2}</> слоев каждого Усиления"
"Effect_Desc_42243","Наносит урон <dmg>{0}</> раз в {1}, устраняет <dmg>{2}</> слоев каждого УСИЛЕНИЯ и увеличивает <dmg>{3}%</> за каждый устраненный слой. Уникальный урон"
"Effect_Desc_42244","Наносит <dmg>{0}</>x {1} урона. Удаляет <dmg>{2}</> стаков каждого из ваших усилений и восстанавливает <dmg>{3}</> Живучести за каждый снятый стак. "
"Effect_Desc_42250","Наносит <dmg>{0}</> раз {1} урона, превращая случайные <dmg>{2}</> неразыгранные ходы в <dmg>1</> неразыгранные ходы"
"Effect_Desc_42251","Наносит <dmg>{0}</> раз {1} раз урона, превращая случайные <dmg>{2}</> приемы боевых искусств на поле в отсутствие движений"
"Effect_Desc_42252","Наносит урон <dmg>{0}</> раз {1}. За каждый <dmg>1</> недвижения на поле и неиспользованные ходы количество урона составляет <dmg>+1</>"
"Effect_Desc_42253","Наносит урон в <dmg>{0}</> раз в {1}. При каждом <dmg>{2}</> движении оружия по полю <dmg>1</> не будет создано ни одного движения"
"Effect_Desc_42254","Наносит урон <dmg>{0}</> раз {1} всем врагам и перерисовывает ходы в зависимости от количества ходов на поле"
"Effect_Desc_42260","Дао защищает вселенную, и рождение Ли должно быть отделено"
"Effect_Desc_42261","Дао священно, следует избегать пошлости"
"Effect_Desc_42262","Дорога ведет к четырем крайностям.Если вы превысите лимит, вы будете исключены"
"Effect_Desc_42263","Мы знаем, что увядание и процветание приведут к смерти, если мы нарушим границу"
"Effect_Desc_42264","Дао видит рождение и смерть, убийства, жизни возвращаются к единству"
"Effect_Desc_42270","Apply <TipGreenOutLine>Transcendence</> stacks to the opponent based on Merit. "
"Effect_Desc_42271","If the opponent has more than <dmg>{0}</> stacks of <TipGreenOutLine>Transcendence</>, they cannot cast Skills next turn."
"Effect_Desc_42272","If the opponent has no activated Skills, double their current <TipGreenOutLine>Transcendence</> stacks."
"Effect_Desc_42273","During this fight, each time you play the same Move as your opponent, increase their <TipGreenOutLine>Transcendence</> stacks accordingly. "
"Effect_Desc_42280","Can be used once per turn. Grant <TipGreenOutLine>Crit</> to <dmg>{0}</> Weapon Moves on the field, prioritizing Moves without <TipGreenOutLine>Crit</>. If the Moves have <TipGreenOutLine>Crit</>, upgrade <TipGreenOutLine>Crit</> to <TipGreenOutLine>Pierce</>."
"Effect_Desc_42281","If there are more than <dmg>3</> Rare Swords in the Sword Case, deal damage to all enemies. The opponent's number of Moves next turn is reduced by <dmg>{0}</>, and they cannot use <TipGreenOutLine>Combo Moves</>."
"Effect_Desc_42282","If there are more than <dmg>3</> Legendary Swords in the Sword Case, deal damage to all enemies. The opponent cannot use <TipGreenOutLine>[Changeable Moves or Omni Moves]</> next turn."
"Effect_Desc_42283","If the Sword Case is full, draw <dmg>{0}</> Weapon Moves and grant them <TipGreenOutLine>Crit</>. "
"Effect_Desc_42284","If all Weapon Moves on the field have <TipGreenOutLine>Crit</>, grant special effects based on the number of Moves."
"Effect_Desc_42290","If you have an odd number of <TipGreenOutLine>Momentum</>, draw <dmg>{0}</> extra Moves next turn."
"Effect_Desc_42291","If you have more than <dmg>{0}</> <TipGreenOutLine>Momentum</>, cancel all of the opponent's activated Skills."
"Effect_Desc_42292","Consume all <TipGreenOutLine>Momentum</>. For every <dmg>1</> stack consumed, deal damage <dmg>1</> more time."
"Effect_Desc_42293","Remove all of your positive buffs. For every <dmg>{0}</> stacks removed, restore an amount of lost Vigor and gain <TipGreenOutLine>Unarmored</>."
"Effect_Desc_42294","When Defense Level is reduced, immediately gain <dmg>{0}</> stacks of Momentum."
"Effect_Desc_42330",""
"Effect_Desc_42331",""
"Effect_Desc_42332",""
"Effect_Desc_42300","Наносит <dmg>{0}</> раз {1} урона"
"Effect_Desc_42301","Наносит <dmg>{0}</> раз {1} урона"
"Effect_Desc_42302","Наносит <dmg>{0}</> раз {1} урона"
"Effect_Desc_42303","Наносит <dmg>{0}</> раз {1} урона"
"Effect_Desc_42304","Наносит <dmg>{0}</> раз {1} урона"
"Effect_Desc_42305","Наносит <dmg>{0}</> раз {1} урона"
"Effect_Desc_42306","Наносит <dmg>{0}</> раз {1} урона"
"Effect_Desc_42307","Наносит <dmg>{0}</> раз {1} урона"
"Effect_Desc_43000","Наносит <dmg>{0}</> раз {1} урона"
"Effect_Desc_43001","Наносит урон <dmg>{0}</> {1} раз, с шансом сделать цель недееспособным"
"skill_prop_xuan_yin_zhenqi_lv","\\n\\n<ZQ_XuanYin>[Бонус Ци Луны]</>"
"skill_prop_chun_yang_zhenqi_lv","\\n\\n<ZQ_ChunYang>[Бонус Ци Солнца]</>"
"skill_prop_sha_du_zhenqi_lv","\\n\\n<ZQ_DuSha>[Ци Яда]Бонус</>"
"skill_prop_hun_yuan_zhenqi_lv","\\n\\n<ZQ_HunYuan>Бонус [Ци гармонии]</>"
"Skill_Learning","[{0}]\\nПонимать"
"Neigong_Learning","[{0}] Понимание"
"Learned_Skill","Выучить тайное знание"
"Learned_NeiGong","Понять Нейгун"
"Learned_Ability","Выучить способность"
"Learned_Destiny","Разблокировать судьбу"
"Unlock_SandBox","Разблокировать режим песочницы"
"Learned_Argument","Отпирающая насадка"
"neigong_name_190000","Метод дыхания"
"neigong_name_190007","Ледяное Искусство"
"neigong_name_190009","Сжигания сердец"
"neigong_name_190010","Пьяный Вечный Сосуд"
"neigong_name_190024","Плоть, мышцы"
"neigong_name_190025","Совет,как избежать яда"
"neigong_name_190026","Огонь скорби"
"neigong_name_190027","Техника Спокойствия"
"neigong_name_190028","Десять тысяч зверей"
"neigong_name_190029","Трансформация дракона Кунг-фу"
